dataset,config,n_records,n_valid,sensitivity,specificity,fn,fp,decision_auto_rate,tier_auto_rate,human_review_rate,auto_include_rate,auto_exclude_rate,ranking_wss95_ecs,ranking_wss95_p_include,ranking_wss95_final_score,status,issues
CLEF_CD007867,a14c_difficulty_floor_100,943,943,1.0,0.11563169164882227,0,826,0.15588547189819724,0.15588547189819724,0.8441145281018028,0.041357370095440084,0.11452810180275716,,,0.8916755037115588,ok,
CLEF_CD007867,a9,943,943,0.8888888888888888,0.3683083511777302,1,590,0.39236479321314954,0.39236479321314954,0.6076352067868505,0.026511134676564158,0.36585365853658536,,,-0.04787910922587491,ok,
CLEF_CD009069,a1,1757,1757,0.8,0.8470319634703196,1,268,0.9100739897552647,0.974957313602732,0.08992601024473534,0.06488332384746727,0.8451906659077973,0.7297381900967558,,0.8338929994308479,ok,
CLEF_CD009069,a11_rule_exclude,1757,1757,1.0,0.0821917808219178,0,1608,0.18554354012521343,0.18554354012521343,0.8144564598747865,0.10358565737051793,0.08195788275469551,,,0.7951906659077973,ok,
CLEF_CD009069,a13b_coverage_rule,1757,1757,1.0,0.030251141552511414,0,1699,0.12350597609561753,0.12350597609561753,0.8764940239043825,0.093340922026181,0.03016505406943654,,,-0.03577120091064319,ok,
CLEF_CD009069,a14c_difficulty_floor_100,1757,1757,1.0,0.030251141552511414,0,1699,0.12350597609561753,0.12350597609561753,0.8764940239043825,0.093340922026181,0.03016505406943654,,,-0.03577120091064319,ok,
CLEF_CD009069,a9,1757,1757,0.8,0.3281963470319635,1,1177,0.4456459874786568,0.44450768355150827,0.5543540125213432,0.11781445645987479,0.32783153101878204,,,0.7877916903813318,ok,
CLEF_CD009642,a1,1922,1922,0.96,0.9748931623931624,2,47,0.9760665972944849,0.9932362122788762,0.023933402705515087,0.025494276795005204,0.9505723204994797,0.9088969823100936,,0.9021331945889698,ok,
CLEF_CD009642,a11_rule_exclude,1922,1922,1.0,0.01014957264957265,0,1853,0.04162330905306972,0.04162330905306972,0.9583766909469302,0.03173777315296566,0.009885535900104058,,,0.00306971904266385,ok,
CLEF_CD009642,a13b_coverage_rule,1922,1922,1.0,0.01014957264957265,0,1853,0.04162330905306972,0.04162330905306972,0.9583766909469302,0.03173777315296566,0.009885535900104058,,,0.00306971904266385,ok,
CLEF_CD009642,a14c_difficulty_floor_100,1922,1922,1.0,0.01014957264957265,0,1853,0.04162330905306972,0.04162330905306972,0.9583766909469302,0.03173777315296566,0.009885535900104058,,,0.00306971904266385,ok,
CLEF_CD009642,a9,1922,1922,0.86,0.39636752136752135,7,1130,0.4183142559833507,0.4183142559833507,0.5816857440166493,0.02861602497398543,0.38969823100936524,,,0.17840790842872004,ok,
CLEF_CD010038,a1,8867,8867,1.0,0.9881463084217657,0,105,0.9900755610691327,0.9979700011277771,0.00992443893086726,0.0029322205932107814,0.987143340475922,0.9337600090222171,,0.9382711176271569,ok,
CLEF_CD010038,a11_rule_exclude,8867,8867,1.0,0.4233461277940844,0,5108,0.4270892071726627,0.4270892071726627,0.5729107928273374,0.004172775459569189,0.4229164317130935,,,0.15987932784481781,ok,
CLEF_CD010038,a13b_coverage_rule,8867,8867,1.0,0.46635809437796344,0,4727,0.4701702943498365,0.4701702943498365,0.5298297056501635,0.0042855531746926806,0.4658847411751438,,,0.1563832186759896,ok,
CLEF_CD010038,a14c_difficulty_floor_100,8867,8867,1.0,0.46635809437796344,0,4727,0.4701702943498365,0.4701702943498365,0.5298297056501635,0.0042855531746926806,0.4658847411751438,,,0.1563832186759896,ok,
CLEF_CD010038,a9,8867,8867,0.8888888888888888,0.18356288101151502,1,7232,0.1877748956806135,0.1877748956806135,0.8122251043193864,0.0042855531746926806,0.18348934250592083,,,0.9368050073305514,ok,
CLEF_CD010239,a1,224,224,1.0,0.9766355140186916,0,5,0.9553571428571429,0.9821428571428571,0.044642857142857144,0.022321428571428572,0.9330357142857143,0.8919642857142857,,0.8607142857142857,ok,
CLEF_CD010239,a11_rule_exclude,224,224,1.0,0.004672897196261682,0,213,0.06696428571428571,0.06696428571428571,0.9330357142857143,0.0625,0.004464285714285714,0.682142857142857,0.06160714285714282,0.06160714285714282,ok,
CLEF_CD010239,a13b_coverage_rule,224,224,1.0,0.004672897196261682,0,213,0.06696428571428571,0.06696428571428571,0.9330357142857143,0.0625,0.004464285714285714,0.682142857142857,0.06160714285714282,0.06160714285714282,ok,
CLEF_CD010239,a14c_difficulty_floor_100,224,224,1.0,0.004672897196261682,0,213,0.06696428571428571,0.06696428571428571,0.9330357142857143,0.0625,0.004464285714285714,0.682142857142857,0.06160714285714282,0.06160714285714282,ok,
CLEF_CD010239,a9,224,224,0.7,0.056074766355140186,3,202,0.7455357142857143,0.7455357142857143,0.2544642857142857,0.6785714285714286,0.06696428571428571,0.8339285714285714,0.025892857142857093,0.025892857142857093,ok,
CLEF_CD010558,a1,2815,2815,1.0,0.9301247771836008,0,196,0.9381882770870338,0.9825932504440498,0.06181172291296625,0.011367673179396092,0.9268206039076377,0.8430728241563055,,0.8846358792184724,ok,
CLEF_CD010558,a11_rule_exclude,2815,2815,1.0,0.2966131907308378,0,1973,0.32930728241563056,0.32930728241563056,0.6706927175843694,0.03374777975133215,0.2955595026642984,0.8547957371225576,0.9070159857904084,0.9070159857904084,ok,
CLEF_CD010558,a13b_coverage_rule,2815,2815,1.0,0.3358288770053476,0,1863,0.3488454706927176,0.3488454706927176,0.6511545293072825,0.014209591474245116,0.3346358792184725,0.8178507992895204,0.09671403197158077,0.09671403197158077,ok,
CLEF_CD010558,a14c_difficulty_floor_100,2815,2815,1.0,0.3358288770053476,0,1863,0.3488454706927176,0.3488454706927176,0.6511545293072825,0.014209591474245116,0.3346358792184725,0.8178507992895204,0.09671403197158077,0.09671403197158077,ok,
CLEF_CD010558,a9,2815,2815,1.0,0.46131907308377895,0,1511,0.5037300177619893,0.5037300177619893,0.49626998223801067,0.04404973357015986,0.4596802841918295,0.9269094138543517,0.9066607460035524,0.9066607460035524,ok,
CLEF_CD010753,a1,2539,2539,0.95,0.9158396188963874,1,212,0.9208349743993698,0.9858211894446632,0.07916502560063017,0.011815675462780622,0.9090192989365892,0.8523237495076802,,0.8511421819614021,ok,
CLEF_CD010753,a11_rule_exclude,2539,2539,1.0,0.004366812227074236,0,2508,0.09058684521465143,0.09058684521465143,0.9094131547853486,0.08625443087829854,0.004332414336352895,,,0.11108704214257578,ok,
