file,dataset,config,n_records,n_valid,n_errors,n_skipped,old_metrics_schema_version,new_metrics_schema_version,old_auto_rate,new_decision_auto_rate,tier_auto_rate,delta_auto_rate,human_review_rate,auto_include_rate,auto_exclude_rate,sensitivity,specificity,tp,fn,tn,fp,ranking_wss95_ecs,ranking_wss95_p_include,ranking_wss95_final_score,result_rows_sha256,status,issues
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD001261/a0.json,CLEF_CD001261,a0,571,571,0,0,1,2,1.0,1.0,1.0,0.0,0.0,0.06654991243432574,0.9334500875656743,0.7272727272727273,0.9599271402550091,16,6,527,22,0.05507880910683008,,0.7293345008756567,ff4d219893676f80ac52631ea670f6eecd015bd190feb3bf8962f6e262659de6,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD001261/a1.json,CLEF_CD001261,a1,571,571,0,0,1,2,0.8493870402802102,0.8493870402802102,0.9824868651488616,0.0,0.15061295971978983,0.06654991243432574,0.7828371278458844,0.9545454545454546,0.8123861566484517,21,1,446,103,0.7415936952714536,,0.8344133099824869,4827224853f1176154cb8bfb23761ebc9ec12843d329a37056964510e655120f,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD001261/a10_fixed_margin.json,CLEF_CD001261,a10_fixed_margin,571,571,0,0,1,2,0.9702276707530648,0.9702276707530648,0.9702276707530648,0.0,0.0297723292469352,0.957968476357268,0.012259194395796848,0.9545454545454546,0.01092896174863388,21,1,6,543,0.7521015761821366,0.8309106830122591,0.8309106830122591,0a20e4cb3d8ba9fa40c97c84cd1a8c6dabb3bd28b8d317a570db37f1f6813adf,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD001261/a11_rule_exclude.json,CLEF_CD001261,a11_rule_exclude,571,571,0,0,1,2,0.09281961471103327,0.09281961471103327,0.09281961471103327,0.0,0.9071803852889667,0.08056042031523643,0.012259194395796848,1.0,0.012750455373406194,22,0,7,542,0.6820490367775831,0.09185639229422063,0.09185639229422063,1d14155bb3f97c280919898333cf97cbdeedd0d310e873020c2e8555a7cc7710,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD001261/a13b_coverage_rule.json,CLEF_CD001261,a13b_coverage_rule,571,571,0,0,1,2,0.09281961471103327,0.09281961471103327,0.09281961471103327,0.0,0.9071803852889667,0.08056042031523643,0.012259194395796848,1.0,0.012750455373406194,22,0,7,542,0.6820490367775831,0.09185639229422063,0.09185639229422063,45c74b16d807b485a0f1ee1b260e6bcedff117b5183dc43fd6e4de8f60ed76b6,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD001261/a14a_difficulty_floor_060.json,CLEF_CD001261,a14a_difficulty_floor_060,571,571,0,0,1,2,0.09281961471103327,0.09281961471103327,0.09281961471103327,0.0,0.9071803852889667,0.08056042031523643,0.012259194395796848,1.0,0.012750455373406194,22,0,7,542,0.6820490367775831,0.09185639229422063,0.09185639229422063,45c74b16d807b485a0f1ee1b260e6bcedff117b5183dc43fd6e4de8f60ed76b6,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD001261/a14b_difficulty_floor_080.json,CLEF_CD001261,a14b_difficulty_floor_080,571,571,0,0,1,2,0.09281961471103327,0.09281961471103327,0.09281961471103327,0.0,0.9071803852889667,0.08056042031523643,0.012259194395796848,1.0,0.012750455373406194,22,0,7,542,0.6820490367775831,0.09185639229422063,0.09185639229422063,45c74b16d807b485a0f1ee1b260e6bcedff117b5183dc43fd6e4de8f60ed76b6,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD001261/a14c_difficulty_floor_100.json,CLEF_CD001261,a14c_difficulty_floor_100,571,571,0,0,1,2,0.09281961471103327,0.09281961471103327,0.09281961471103327,0.0,0.9071803852889667,0.08056042031523643,0.012259194395796848,1.0,0.012750455373406194,22,0,7,542,0.6820490367775831,0.09185639229422063,0.09185639229422063,45c74b16d807b485a0f1ee1b260e6bcedff117b5183dc43fd6e4de8f60ed76b6,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD001261/a2.json,CLEF_CD001261,a2,571,571,0,0,1,2,0.8318739054290718,0.8318739054290718,0.9649737302977233,0.0,0.1681260945709282,0.04903677758318739,0.7828371278458844,0.9545454545454546,0.8123861566484517,21,1,446,103,0.7415936952714536,0.7871278458844133,0.7871278458844133,4380d72943da89b8dfda8d5d877eb7e73d0314bbda56bbd3145619ec8f787198,ok,
/Users/hongchaokun/Documents/PhD/MetaScreener/experiments/results/CLEF_CD001261/a3.json,CLEF_CD001261,a3,571,571,0,0,1,2,0.7478108581436077,0.7478108581436077,0.7478108581436077,0.0,0.2521891418563923,0.08231173380035026,0.6654991243432574,0.7272727272727273,0.6812386156648452,16,6,374,175,0.7415936952714536,0.7871278458844133,0.7871278458844133,7c419fc9b767293d175303db9cd444bf2f84b57ef762edabef513f37e6ac9ce9,ok,
