dataset,ranker,n_total,n_includes,reachable_095,work_095,wss_095,reachable_098,work_098,wss_098,reachable_0985,work_0985,wss_0985,reachable_099,work_099,wss_099
Wolters_2018,lexical,4272,19,True,2829,0.3377808988764045,True,2829,0.3377808988764045,True,2829,0.3377808988764045,True,2829,0.3377808988764045
Wolters_2018,llm,4272,19,True,1910,0.5529026217228464,True,1910,0.5529026217228464,True,1910,0.5529026217228464,True,1910,0.5529026217228464
van_de_Schoot_2018,lexical,4538,38,True,2246,0.5050683120317321,True,2517,0.44535037461436755,True,2517,0.44535037461436755,True,2517,0.44535037461436755
van_de_Schoot_2018,llm,4538,38,True,4385,0.03371529308065224,True,4531,0.0015425297487879908,True,4531,0.0015425297487879908,True,4531,0.0015425297487879908
Bos_2018,lexical,4878,10,True,2078,0.5740057400574006,True,2078,0.5740057400574006,True,2078,0.5740057400574006,True,2078,0.5740057400574006
Bos_2018,llm,4878,10,True,446,0.9085690856908569,True,446,0.9085690856908569,True,446,0.9085690856908569,True,446,0.9085690856908569
Moran_2021,lexical,5199,111,True,5111,0.016926331986920506,True,5168,0.005962685131756129,True,5172,0.005193306405077869,True,5172,0.005193306405077869
Moran_2021,llm,5199,111,True,5006,0.03712252356222345,True,5151,0.009232544720138458,True,5152,0.009040200038468948,True,5152,0.009040200038468948
Leenaars_2019,lexical,5767,17,True,127,0.9779781515519335,True,127,0.9779781515519335,True,127,0.9779781515519335,True,127,0.9779781515519335
Leenaars_2019,llm,5767,17,True,4706,0.18397780475117043,True,4706,0.18397780475117043,True,4706,0.18397780475117043,True,4706,0.18397780475117043
Radjenovic_2013,lexical,5935,48,True,1304,0.7802864363942713,True,3072,0.4823925863521483,True,3072,0.4823925863521483,True,3072,0.4823925863521483
Radjenovic_2013,llm,5935,48,True,364,0.9386689132266217,True,451,0.9240101095197978,True,451,0.9240101095197978,True,451,0.9240101095197978
Leenaars_2020,lexical,7169,582,True,4124,0.4247454317199052,True,5491,0.23406332821871945,True,5661,0.21035011856604824,True,5773,0.19472729808899425
Leenaars_2020,llm,7169,582,True,3137,0.5624215371739434,True,4310,0.398800390570512,True,4464,0.37731901241456267,True,4633,0.3537452922304366
Wassenaar_2017,lexical,7657,111,True,7319,0.04414261460101865,True,7575,0.0107091550215489,True,7600,0.007444168734491274,True,7600,0.007444168734491274
Wassenaar_2017,llm,7657,111,True,7143,0.06712811806190411,True,7186,0.0615123416481651,True,7264,0.051325584432545424,True,7264,0.051325584432545424
Hall_2012,lexical,8793,104,True,4768,0.4577504833390197,True,5764,0.3444785624928921,True,6189,0.296144660525418,True,6189,0.296144660525418
Hall_2012,llm,8793,104,True,636,0.927669737291027,True,1047,0.8809280109177755,True,1955,0.777664050949619,True,1955,0.777664050949619
