strategy,threshold,n,tp,fn,fp,tn,sensitivity,specificity,ppv,npv,accuracy,auto_rate,include_rate,exclude_rate
p_include_threshold,0.011785101249290044,58085,939,417,9257,47472,0.6924778761061947,0.8368206737294858,0.09209493919183993,0.9912923635908037,0.8334509770164414,1.0,0.17553585262976673,0.8244641473702333
p_include_threshold,0.011785968732537351,58085,939,417,9257,47472,0.6924778761061947,0.8368206737294858,0.09209493919183993,0.9912923635908037,0.8334509770164414,1.0,0.17553585262976673,0.8244641473702333
p_include_threshold,0.011787183417158967,58085,939,417,9256,47473,0.6924778761061947,0.8368383013978741,0.09210397253555665,0.9912925454165796,0.8334681931651889,1.0,0.1755186364810192,0.8244813635189808
p_include_threshold,0.01178839810178058,58085,939,417,9256,47473,0.6924778761061947,0.8368383013978741,0.09210397253555665,0.9912925454165796,0.8334681931651889,1.0,0.1755186364810192,0.8244813635189808
p_include_threshold,0.01179673390202265,58085,939,417,9255,47474,0.6924778761061947,0.8368559290662624,0.09211300765155975,0.9912927272347622,0.8334854093139364,1.0,0.17550142033227167,0.8244985796677283
p_include_threshold,0.011805069702264718,58085,939,417,9255,47474,0.6924778761061947,0.8368559290662624,0.09211300765155975,0.9912927272347622,0.8334854093139364,1.0,0.17550142033227167,0.8244985796677283
p_include_threshold,0.011838603409962033,58085,939,417,9253,47476,0.6924778761061947,0.836891184403039,0.09213108320251177,0.9912930908483495,0.8335198416114316,1.0,0.17546698803477662,0.8245330119652233
p_include_threshold,0.011872137117659347,58085,939,417,9253,47476,0.6924778761061947,0.836891184403039,0.09213108320251177,0.9912930908483495,0.8335198416114316,1.0,0.17546698803477662,0.8245330119652233
p_include_threshold,0.011908755615059564,58085,939,417,9252,47477,0.6924778761061947,0.8369088120714273,0.09214012363850456,0.991293272643755,0.8335370577601791,1.0,0.1754497718860291,0.8245502281139709
p_include_threshold,0.011945374112459781,58085,939,417,9252,47477,0.6924778761061947,0.8369088120714273,0.09214012363850456,0.991293272643755,0.8335370577601791,1.0,0.1754497718860291,0.8245502281139709
p_include_threshold,0.012193931251434736,58085,939,417,9251,47478,0.6924778761061947,0.8369264397398156,0.09214916584887144,0.991293454431569,0.8335542739089266,1.0,0.17543255573728156,0.8245674442627184
p_include_threshold,0.01244248839040969,58085,939,417,9251,47478,0.6924778761061947,0.8369264397398156,0.09214916584887144,0.991293454431569,0.8335542739089266,1.0,0.17543255573728156,0.8245674442627184
p_include_threshold,0.01280823129975361,58085,939,417,9250,47479,0.6924778761061947,0.8369440674082039,0.09215820983413485,0.9912936362117922,0.8335714900576741,1.0,0.17541533958853406,0.8245846604114659
p_include_threshold,0.01317397420909753,58085,939,417,9250,47479,0.6924778761061947,0.8369440674082039,0.09215820983413485,0.9912936362117922,0.8335714900576741,1.0,0.17541533958853406,0.8245846604114659
p_include_threshold,0.013187784592775087,58085,939,417,9249,47480,0.6924778761061947,0.8369616950765922,0.09216725559481743,0.991293817984425,0.8335887062064217,1.0,0.17539812343978653,0.8246018765602134
p_include_threshold,0.013201594976452645,58085,939,417,9249,47480,0.6924778761061947,0.8369616950765922,0.09216725559481743,0.991293817984425,0.8335887062064217,1.0,0.17539812343978653,0.8246018765602134
p_include_threshold,0.013208082086557804,58085,939,417,9248,47481,0.6924778761061947,0.8369793227449805,0.09217630313144204,0.9912939997494676,0.8336059223551692,1.0,0.175380907291039,0.824619092708961
