dataset,scope,true_label,proposed_direction,hr_primary_cause,n
Cohen_OralHypoglycemics,external,1,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,77
van_der_Valk_2021,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,77
Cohen_Opiods,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,75
Hall_2012,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,75
CLEF_CD007867,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,67
Cohen_Statins,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,66
Cohen_Triptans,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,66
CLEF_CD011571,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,64
Cohen_Triptans,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,64
Wassenaar_2017,other,1,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,63
Chou_2004,other,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,62
CLEF_CD012069,external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin_or_possible_eas_widened_margin,60
Cohen_BetaBlockers,external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,57
Cohen_ADHD,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,53
van_der_Waal_2022,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,52
CLEF_CD010239,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,48
Cohen_AtypicalAntipsychotics,external,1,INCLUDE,include_blocked_by_low_ecs,48
CLEF_CD000996,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,47
CLEF_CD012069,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,47
Chou_2003,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,44
Cohen_CalciumChannelBlockers,external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,44
