scope,p_include_max,ecs_max,exclude_certainty_policy,model_policy,asreview_rank_min,selected_hr,selected_true_excludes,selected_true_includes_extra_fn,selection_precision_true_exclude,auto_rate_gain,new_auto_rate,new_fn,new_sensitivity
all,0.05,0.4,require_pass,early2,0.8,146,146,0,1.0,0.000643339017630133,0.40036397125244005,170,0.9593884376493073
all,0.05,0.5,require_pass,any,0.8,146,146,0,1.0,0.000643339017630133,0.40036397125244005,170,0.9593884376493073
all,0.05,0.5,require_pass,early2,0.8,146,146,0,1.0,0.000643339017630133,0.40036397125244005,170,0.9593884376493073
all,0.005,0.5,ignore,full4,,111,111,0,1.0,0.0004891139106640051,0.40020974614547394,170,0.9593884376493073
all,0.005,0.2,require_pass,any,0.8,84,84,0,1.0,0.0003701402567187066,0.40009077249152863,170,0.9593884376493073
all,0.005,0.2,require_pass,early2,0.8,84,84,0,1.0,0.0003701402567187066,0.40009077249152863,170,0.9593884376493073
all,0.005,0.3,require_pass,any,0.8,84,84,0,1.0,0.0003701402567187066,0.40009077249152863,170,0.9593884376493073
all,0.005,0.3,require_pass,early2,0.8,84,84,0,1.0,0.0003701402567187066,0.40009077249152863,170,0.9593884376493073
all,0.005,0.4,require_pass,any,0.8,84,84,0,1.0,0.0003701402567187066,0.40009077249152863,170,0.9593884376493073
all,0.005,0.4,require_pass,early2,0.8,84,84,0,1.0,0.0003701402567187066,0.40009077249152863,170,0.9593884376493073
all,0.005,0.5,require_pass,any,0.8,84,84,0,1.0,0.0003701402567187066,0.40009077249152863,170,0.9593884376493073
all,0.005,0.5,require_pass,early2,0.8,84,84,0,1.0,0.0003701402567187066,0.40009077249152863,170,0.9593884376493073
all,0.002,0.2,require_pass,any,0.8,71,71,0,1.0,0.0003128566455598592,0.40003348888036977,170,0.9593884376493073
all,0.002,0.2,require_pass,early2,0.8,71,71,0,1.0,0.0003128566455598592,0.40003348888036977,170,0.9593884376493073
all,0.002,0.3,require_pass,any,0.8,71,71,0,1.0,0.0003128566455598592,0.40003348888036977,170,0.9593884376493073
all,0.002,0.3,require_pass,early2,0.8,71,71,0,1.0,0.0003128566455598592,0.40003348888036977,170,0.9593884376493073
all,0.002,0.4,require_pass,any,0.8,71,71,0,1.0,0.0003128566455598592,0.40003348888036977,170,0.9593884376493073
all,0.002,0.4,require_pass,early2,0.8,71,71,0,1.0,0.0003128566455598592,0.40003348888036977,170,0.9593884376493073
all,0.002,0.5,require_pass,any,0.8,71,71,0,1.0,0.0003128566455598592,0.40003348888036977,170,0.9593884376493073
all,0.002,0.5,require_pass,early2,0.8,71,71,0,1.0,0.0003128566455598592,0.40003348888036977,170,0.9593884376493073
all,0.005,0.4,ignore,full4,,67,67,0,1.0,0.00029523091904944457,0.40001586315385934,170,0.9593884376493073
all,0.002,0.5,ignore,full4,,53,53,0,1.0,0.00023354087626299347,0.3999541731110729,170,0.9593884376493073
all,0.005,0.3,ignore,full4,,47,47,0,1.0,0.00020710228649737156,0.3999277345213073,170,0.9593884376493073
all,0.01,0.5,ignore,full4,0.5,45,45,0,1.0,0.00019828942324216426,0.3999189216580521,170,0.9593884376493073
all,0.02,0.5,ignore,full4,0.5,45,45,0,1.0,0.00019828942324216426,0.3999189216580521,170,0.9593884376493073
all,0.03,0.5,ignore,full4,0.5,45,45,0,1.0,0.00019828942324216426,0.3999189216580521,170,0.9593884376493073
all,0.05,0.5,ignore,full4,0.5,45,45,0,1.0,0.00019828942324216426,0.3999189216580521,170,0.9593884376493073
all,0.002,0.4,ignore,full4,,36,36,0,1.0,0.00015863153859373142,0.39987926377340366,170,0.9593884376493073
all,0.005,0.2,ignore,full4,,34,34,0,1.0,0.0001498186753385241,0.39987045091014845,170,0.9593884376493073
all,0.01,0.2,require_pass,any,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.01,0.2,require_pass,early2,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.01,0.3,require_pass,any,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.01,0.3,require_pass,early2,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.01,0.4,require_pass,any,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.01,0.4,require_pass,early2,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.01,0.5,require_pass,any,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.01,0.5,require_pass,early2,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.02,0.2,require_pass,any,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.02,0.2,require_pass,early2,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.02,0.3,require_pass,any,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.02,0.3,require_pass,early2,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.02,0.4,require_pass,any,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.02,0.4,require_pass,early2,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.02,0.5,require_pass,any,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.02,0.5,require_pass,early2,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.03,0.2,require_pass,any,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.03,0.2,require_pass,early2,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.03,0.3,require_pass,any,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.03,0.3,require_pass,early2,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.03,0.4,require_pass,any,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.03,0.4,require_pass,early2,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.03,0.5,require_pass,any,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.03,0.5,require_pass,early2,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.05,0.2,require_pass,any,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.05,0.2,require_pass,early2,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.05,0.3,require_pass,any,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.05,0.3,require_pass,early2,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.05,0.4,require_pass,any,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.05,0.4,require_pass,early2,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.05,0.5,require_pass,any,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.05,0.5,require_pass,early2,0.95,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.002,0.3,ignore,full4,,28,28,0,1.0,0.0001233800855729022,0.3998440123203828,170,0.9593884376493073
all,0.01,0.4,ignore,full4,0.5,26,26,0,1.0,0.00011456722231769491,0.3998351994571276,170,0.9593884376493073
all,0.02,0.4,ignore,full4,0.5,26,26,0,1.0,0.00011456722231769491,0.3998351994571276,170,0.9593884376493073
all,0.03,0.4,ignore,full4,0.5,26,26,0,1.0,0.00011456722231769491,0.3998351994571276,170,0.9593884376493073
all,0.05,0.4,ignore,full4,0.5,26,26,0,1.0,0.00011456722231769491,0.3998351994571276,170,0.9593884376493073
all,0.002,0.2,ignore,full4,,22,22,0,1.0,9.69414958072803e-05,0.3998175737306172,170,0.9593884376493073
all,0.005,0.5,ignore,full4,0.5,21,21,0,1.0,9.253506417967665e-05,0.3998131672989896,170,0.9593884376493073
all,0.005,0.2,require_pass,any,0.95,19,19,0,1.0,8.372220092446936e-05,0.39980435443573437,170,0.9593884376493073
all,0.005,0.2,require_pass,early2,0.95,19,19,0,1.0,8.372220092446936e-05,0.39980435443573437,170,0.9593884376493073
all,0.005,0.3,require_pass,any,0.95,19,19,0,1.0,8.372220092446936e-05,0.39980435443573437,170,0.9593884376493073
all,0.005,0.3,require_pass,early2,0.95,19,19,0,1.0,8.372220092446936e-05,0.39980435443573437,170,0.9593884376493073
all,0.005,0.4,require_pass,any,0.95,19,19,0,1.0,8.372220092446936e-05,0.39980435443573437,170,0.9593884376493073
